Sentence #,Word,POS,Tag
Sentence 1,Hưng,O,B_STREET
,Gia,O,I_STREET
,3,O,I_STREET
,-,O,OTHER
,Phú,O,B_WARD
,Mỹ,O,I_WARD
,Hưng,O,I_WARD
,",",O,OTHER
,Quận,O,DIST_TYPE
,7,O,B_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 2,430/83B,O,NUMBER
,",",O,OTHER
,Đường,O,STREET_TYPE
,Điện,O,B_STREET
,Biên,O,I_STREET
,Phủ,O,I_STREET
,",",O,OTHER
,Bình,O,B_DIST
,Thạnh,O,I_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 3,Dự,O,PRO_TYPE
,án,O,PRO_TYPE
,Centa,O,B_PRO
,Park,O,I_PRO
,Tân,O,I_PRO
,Bình,O,I_PRO
,",",O,OTHER
,Đường,O,STREET_TYPE
,Âu,O,B_STREET
,Cơ,O,B_STREET
,",",O,OTHER
,Tân,O,B_DIST
,Bình,O,I_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 4,32,O,NUMBER
,Đường,O,STREET_TYPE
,13,O,B_STREET
,Lý,O,I_STREET
,Phục,O,I_STREET
,Man,O,I_STREET
,",",O,OTHER
,KP3,O,OTHER
,",",O,OTHER
,P.Bình,O,B_WARD
,Thuận,O,I_WARD
,",",O,OTHER
,Q.7,O,B_DIST
,.,.,O
Sentence 5,Quận,O,DIST_TYPE
,1,O,B_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 6,Đường,O,STREET_TYPE
,Nguyễn,O,B_STREET
,Văn,O,I_STREET
,Tăng,O,I_STREET
,",",O,OTHER
,Phường,O,WARD_TYPE
,Long,O,B_WARD
,Trường,O,I_WARD
,",",O,OTHER
,Quận,O,DIST_TYPE
,9,O,B_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 7,Phú,O,B_STREET
,Mỹ,O,I_STREET
,2,O,I_STREET
,",",O,OTHER
,Phường,O,WARD_TYPE
,Phú,O,B_WARD
,Mỹ,O,I_WARD
,",",O,OTHER
,Quận,O,DIST_TYPE
,7,O,B_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 8,Đường,O,STREET_TYPE
,Cầu,O,B_STREET
,Giấy,O,I_STREET
,",",O,OTHER
,Cầu,O,B_DIST
,Giấy,O,I_DIST
,",",O,OTHER
,Hà,O,B_CITY
,Nội,O,I_CITY
,.,.,O
Sentence 9,Đường,O,STREET_TYPE
,Xóm,O,B_STREET
,Chiếu,O,I_STREET
,",",O,OTHER
,Quận,O,DIST_TYPE
,4,O,B_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 10,Đường,O,STREET_TYPE
,Xương,O,B_STREET
,Cá,O,I_STREET
,2,O,I_STREET
,",",O,OTHER
,Nhà,O,B_DIST
,Bè,O,I_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 11,Đường,O,STREET_TYPE
,Bùi,O,B_STREET
,Quốc,O,I_STREET
,Hưng,O,I_STREET
,",",O,OTHER
,Sơn,O,B_DIST
,Trà,O,I_DIST
,",",O,OTHER
,Đà,O,B_CITY
,Nẵng,O,I_CITY
,.,.,O
Sentence 12,Đường,O,STREET_TYPE
,La,O,B_STREET
,Sơn,O,I_STREET
,Phu,O,I_STREET
,Tử,O,I_STREET
,",",O,OTHER
,Đà,O,B_DIST
,Lạt,O,I_DIST
,",",O,OTHER
,Lâm,O,B_CITY
,Đồng,O,I_CITY
,.,.,O
Sentence 13,La,O,B_PRO
,Astoria,O,I_PRO
,.,.,O
Sentence 14,Đường,O,STREET_TYPE
,182,O,B_STREET
,",",O,OTHER
,Phường,O,WARD_TYPE
,Tăng,O,B_WARD
,Nhơn,O,I_WARD
,Phú,O,I_WARD
,A,O,I_WARD
,",",O,OTHER
,Quận,O,DIST_TYPE
,9,O,B_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 15,Đường,O,STREET_TYPE
,Nguyễn,O,B_STREET
,Thái,O,I_STREET
,Học,O,I_STREET
,",",O,OTHER
,Phường,O,WARD_TYPE
,Lý,O,B_WARD
,Thường,O,I_WARD
,Kiệt,O,I_WARD
,",",O,OTHER
,Quy,O,B_DIST
,Nhơn,O,I_DIST
,",",O,OTHER
,Bình,O,B_CITY
,Định,O,I_CITY
,.,.,O
Sentence 16,Phường,O,WARD_TYPE
,12,O,B_WARD
,",",O,OTHER
,Đường,O,STREET_TYPE
,Hậu,O,B_STREET
,Giang,O,I_STREET
,",",O,OTHER
,Quận,O,DIST_TYPE
,6,O,B_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 17,Đường,O,STREET_TYPE
,Ngô,O,B_STREET
,Chí,O,I_STREET
,Quốc,O,I_STREET
,-,O,OTHER
,Thủ,O,B_DIST
,Đức,O,I_DIST
,-,O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 18,Đường,O,STREET_TYPE
,Quốc,O,B_STREET
,Lộ,O,I_STREET
,43,O,I_STREET
,",",O,OTHER
,Thuận,O,B_DIST
,An,O,I_DIST
,",",O,OTHER
,Bình,O,B_CITY
,Dương,O,I_CITY
,.,.,O
Sentence 19,Đường,O,STREET_TYPE
,số,O,B_STREET
,41,O,I_STREET
,",",O,OTHER
,Quận,O,DIST_TYPE
,7,O,B_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 20,Đường,O,STREET_TYPE
,Bình,O,B_STREET
,Thung,O,I_STREET
,",",O,OTHER
,Dĩ,O,B_DIST
,An,O,I_DIST
,",",O,OTHER
,Bình,O,B_CITY
,Dương,O,I_CITY
,.,.,O
Sentence 21,140/27,O,NUMBER
,Đường,O,STREET_TYPE
,Vườn,O,B_STREET
,Lài,O,I_STREET
,",",O,OTHER
,Quận,O,DIST_TYPE
,12,O,B_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 22,Opera,O,B_PRO
,Business,O,I_PRO
,Centre,O,I_PRO
,.,.,O
Sentence 23,Đường,O,STREET_TYPE
,Nhữ,O,B_STREET
,Tiến,O,I_STREET
,Hiến,O,I_STREET
,",",O,OTHER
,Củ,O,B_DIST
,Chi,O,I_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 24,Tràng,O,B_PRO
,An,O,I_PRO
,Complex,O,I_PRO
,.,.,O
Sentence 25,Dự,O,PRO_TYPE
,án,O,PRO_TYPE
,Lâm,O,B_PRO
,Sơn,O,I_PRO
,Resort,O,I_PRO
,",",O,OTHER
,Lương,O,B_DIST
,Sơn,O,I_DIST
,",",O,OTHER
,Hòa,O,B_CITY
,Bình,O,I_CITY
,.,.,O
Sentence 26,Phường,O,WARD_TYPE
,Vạn,O,B_WARD
,Phúc,O,I_WARD
,",",O,OTHER
,Đường,O,STREET_TYPE
,Ngô,O,B_STREET
,Thì,O,I_STREET
,Sỹ,O,I_STREET
,",",O,OTHER
,Hà,O,B_DIST
,Đông,O,I_DIST
,",",O,OTHER
,Hà,O,B_CITY
,Nội,O,I_CITY
,.,.,O
Sentence 27,Lô,O,NUMBER_TYPE
,B3,O,NUMBER
,",",O,OTHER
,khu,O,OTHER
,liền,O,OTHER
,kề,O,OTHER
,(Công,O,OTHER
,an,O,OTHER
,Đa,O,OTHER
,Sĩ),O,OTHER
,",",O,OTHER
,Đường,O,STREET_TYPE
,Hà,O,B_STREET
,Trì,O,I_STREET
,",",O,OTHER
,Hà,O,B_DIST
,Đông,O,I_DIST
,",",O,OTHER
,Hà,O,B_CITY
,Nội,O,I_CITY
,.,.,O
Sentence 28,Thị,O,WARD_TYPE
,trấn,O,WARD_TYPE
,Kim,O,B_WARD
,Lan,O,I_WARD
,",",O,OTHER
,Gia,O,B_DIST
,Lâm,O,I_DIST
,",",O,OTHER
,Hà,O,B_CITY
,Nội,O,I_CITY
,.,.,O
Sentence 29,Đường,O,STREET_TYPE
,Huỳnh,O,B_STREET
,Tấn,O,I_STREET
,Phát,O,I_STREET
,",",O,OTHER
,phường,O,WARD_TYPE
,phú,O,B_WARD
,thuận,O,I_WARD
,Quận,O,DIST_TYPE
,7,O,B_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 30,Dự,O,PRO_TYPE
,án,O,PRO_TYPE
,Sài,O,B_PRO
,Gòn,O,I_PRO
,Airport,O,I_PRO
,Plaza,O,I_PRO
,",",O,OTHER
,Tân,O,B_DIST
,Bình,O,I_DIST
,",",O,OTHER
,Tp.HCM,O,B_CITY
,.,.,O
Sentence 31,Đường,O,STREET_TYPE
,Thiên,O,B_STREET
,Phước,O,I_STREET
,",",O,OTHER
,Phường,O,WARD_TYPE
,8,O,B_WARD
,",",O,OTHER
,Tân,O,B_DIST
,Bình,O,I_DIST
,",",O,OTHER
,Hồ,O,B_CITY
,Chí,O,I_CITY
,Minh,O,I_CITY
,.,.,O
Sentence 32,Dự,O,PRO_TYPE
,án,O,PRO_TYPE
,KĐT,O,B_PRO
,Nam,O,I_PRO
,Vĩnh,O,I_PRO
,Yên,O,I_PRO
,",",O,OTHER
,Đường,O,STREET_TYPE
,Đinh,O,B_STREET
,Tiên,O,I_STREET
,Hoàng,O,I_STREET
,",",O,OTHER
,Vĩnh,O,B_DIST
,Yên,O,I_DIST
,",",O,OTHER
,Vĩnh,O,B_CITY
,Phúc,O,I_CITY
,.,.,O
Sentence 33,Lê,O,B_STREET
,Văn,O,I_STREET
,Lương,O,I_STREET
,",",O,OTHER
,Thanh,O,B_DIST
,Xuân,O,I_DIST
,",",O,OTHER
,Hà,O,B_CITY
,Nội,O,I_CITY
,.,.,O
Sentence 34,Vincom,O,B_PRO
,Center,O,I_PRO
,Phạm,O,I_PRO
,Ngọc,O,I_PRO
,Thạch,O,I_PRO
,.,.,O
Sentence 35,Đường,O,STREET_TYPE
,Quốc,O,B_STREET
,lộ,O,I_STREET
,1A,O,I_STREET
,",",O,OTHER
,Núi,O,B_DIST
,Thành,O,I_DIST
,",",O,OTHER
,Quảng,O,B_CITY
,Nam,O,I_CITY
,.,.,O
,.,.,O
Sentence 37,Dự,O,PRO_TYPE
,án,O,PRO_TYPE
,Intracom1,O,B_PRO
,",",O,OTHER
,Xã,O,WARD_TYPE
,Trung,O,B_WARD
,Văn,O,I_WARD
,",",O,OTHER
,đường,O,STREET_TYPE
,Trung,O,B_STREET
,Văn,O,I_STREET
,",",O,OTHER
,Nam,O,B_DIST
,Từ,O,I_DIST
,Liêm,O,I_DIST
,",",O,OTHER
,Hà,O,B_CITY
,Nội,O,I_CITY
,.,.,O
Sentence 38,64,O,NUMBER
,",",O,OTHER
,Duong,O,STREET_TYPE
,6,O,B_STREET
,",",O,OTHER
,linh,O,B_WARD
,trung,O,I_WARD
,thủ,O,B_DIST
,đức,O,I_DIST
,",",O,OTHER
,Tp.HCM,O,B_CITY
,.,.,O
Sentence 39,Dự,O,PRO_TYPE
,án,O,PRO_TYPE
,Khu,O,B_PRO
,đô,O,I_PRO
,thị,O,I_PRO
,Nam,O,I_PRO
,Thăng,O,I_PRO
,Long,O,I_PRO
,-,O,OTHER
,Ciputra,O,I_PRO
,Hà,O,I_PRO
,Nội,O,I_PRO
,",",O,OTHER
,Tây,O,B_DIST
,Hồ,O,I_DIST
,",",O,OTHER
,Hà,O,B_CITY
,Nội,O,I_CITY
,.,.,O
Sentence 40,đường,O,STREET_TYPE
,Lê,O,B_STREET
,Đức,O,I_STREET
,Thọ,O,I_STREET
,",",O,OTHER
,Nam,O,B_DIST
,Từ,O,I_DIST
,Liêm,O,I_DIST
,",",O,OTHER
,Hà,O,B_CITY
,Nội,O,I_CITY
,.,.,O
Sentence 41,Đường,O,STREET_TYPE
,13,O,B_STREET
,",",O,OTHER
,Xã,O,WARD_TYPE
,Minh,O,B_WARD
,Thắng,O,I_WARD
,",",O,OTHER
,Chơn,O,B_DIST
,Thành,O,I_DIST
,",",O,OTHER
,Bình,O,B_CITY
,Phước,O,I_CITY
,.,.,O
Sentence 42,Trung,O,B_STREET
,Hành,O,I_STREET
,",",O,OTHER
,Hải,O,B_DIST
,An,O,I_DIST
,",",O,OTHER
,Hải,O,B_CITY
,Phòng,O,I_CITY
,.,.,O
Sentence 43,Đường,O,STREET_TYPE
,Tựu,O,B_STREET
,Liệt,O,I_STREET
,",",O,OTHER
,Phường,O,WARD_TYPE
,Định,O,B_WARD
,Công,O,I_WARD
,",",O,OTHER
,Hoàng,O,B_DIST
,Mai,O,I_DIST
,",",O,OTHER
,Hà,O,B_CITY
,Nội,O,I_CITY
,.,.,O
Sentence 44,Đường,O,STREET_TYPE
,Đặng,O,B_STREET
,Châu,O,I_STREET
,Tuệ,O,I_STREET
,",",O,OTHER
,Cẩm,O,B_DIST
,Phả,O,I_DIST
,",",O,OTHER
,Quảng,O,B_CITY
,Ninh,O,I_CITY
,.,.,O
Sentence 45,Số,O,NUMBER_TYPE
,246,O,NUMBER
,Phố,O,STREET_TYPE
,Lê,O,B_STREET
,Thanh,O,I_STREET
,Nghị,O,I_STREET
,",",O,OTHER
,Hai,O,B_DIST
,Bà,O,I_DIST
,Trưng,O,I_DIST
,",",O,OTHER
,Hà,O,B_CITY
,Nội,O,I_CITY
,.,.,O
Sentence 46,Đường,O,STREET_TYPE
,Lê,O,B_STREET
,Thánh,O,I_STREET
,Tông,O,I_STREET
,",",O,OTHER
,Hạ,O,B_DIST
,Long,O,I_DIST
,",",O,OTHER
,Quảng,O,B_CITY
,Ninh,O,I_CITY
,.,.,O
Sentence 47,Chung,O,B_PRO
,cư,O,I_PRO
,Sails,O,I_PRO
,Tower,O,I_PRO
,Sông,O,I_PRO
,Nhuệ,O,I_PRO
,",",O,OTHER
,KĐT,O,B_WARD
,Xa,O,I_WARD
,La,O,I_WARD
,",",O,OTHER
,Hà,O,B_DIST
,Đông.,O,I_DIST
,.,.,O
